processed,raw,similarity,ticker,totalEsg
Consolidated Edison,Consolidated Edison,1.0,ED,26.96
Constellation Brands,Constellation Brands,1.0,STZ,24.15
The Cooper Companies,The Cooper Companies,1.0,COO,22.13
Copart,Copart Inc,0.75,CPRT,23.41
Corning,Corning Inc.,0.7368421052631579,GLW,19.52
Costco Wholesale,Costco Wholesale Corp.,0.8421052631578947,COST,22.84
"Coty,","Coty, Inc",0.7142857142857143,COTY,31.53
Crown Castle International,Crown Castle International Corp.,0.896551724137931,CCI,20.26
CSX,CSX Corp.,0.5,CSX,22.57
Cummins,Cummins Inc.,0.7368421052631579,CMI,19.1
CVS Health,CVS Health,1.0,CVS,20.7
D. R. Horton,D. R. Horton,1.0,DHI,21.07
Danaher,Danaher Corp.,0.7,DHR,32.72
Darden Restaurants,Darden Restaurants,1.0,DRI,22.18
DaVita,DaVita Inc.,0.7058823529411765,DVA,20.66
Deere &,Deere & Co.,0.7777777777777778,DE,17.77
Delta Air Lines,Delta Air Lines Inc.,0.8571428571428571,DAL,23.82
Dentsply Sirona,Dentsply Sirona,1.0,XRAY,20.48
Devon Energy,Devon Energy,1.0,DVN,33.25
DexCom,DexCom,1.0,DXCM,27.15
Digital Realty Trust,Digital Realty Trust Inc,0.9090909090909091,DLR,14.42
Discover Financial Services,Discover Financial Services,1.0,DFS,23.54
"Discovery,","Discovery, Inc. (Class A)",0.5714285714285714,DISCA,18.14
Dish Network,Dish Network,1.0,DISH,21.65
Dollar General,Dollar General,1.0,DG,17.01
Dollar Tree,Dollar Tree,1.0,DLTR,19.52
Dominion Energy,Dominion Energy,1.0,D,32.25
Domino's Pizza,Domino's Pizza,1.0,DPZ,26.68
Dover,Dover Corporation,0.45454545454545453,DOV,33.05
DTE Energy,DTE Energy Co.,0.8333333333333334,DTE,30.89
Duke Energy,Duke Energy,1.0,DUK,33.26
DuPont de Nemours,DuPont de Nemours Inc,0.8947368421052632,DD,33.01
DXC Technology,DXC Technology,1.0,DXC,15.32
Eastman Chemical,Eastman Chemical,1.0,EMN,24.76
Eaton,Eaton Corporation,0.45454545454545453,ETN,16.87
eBay,eBay Inc.,0.6153846153846154,EBAY,21.42
Ecolab,Ecolab Inc.,0.7058823529411765,ECL,30.54
Edison,Edison Int'l,0.6666666666666666,EIX,28.85
Edwards Lifesciences,Edwards Lifesciences,1.0,EW,19.65
Electronic Arts,Electronic Arts,1.0,EA,12.44
Emerson Electric,Emerson Electric Company,0.8,EMR,30.82
Entergy,Entergy Corp.,0.7,ETR,34.89
EOG Resources,EOG Resources,1.0,EOG,46.76
Equifax,Equifax Inc.,0.7368421052631579,EFX,28.24
Equity Residential,Equity Residential,1.0,EQR,15.84
"Essex Property Trust,","Essex Property Trust, Inc.",0.8936170212765957,ESS,15.9
Estée Lauder Companies,Estée Lauder Companies,1.0,EL,25.34
Eversource Energy,Eversource Energy,1.0,ES,22.83
Everest Re,Everest Re Group Ltd.,0.6451612903225806,RE,28.05
Exelon,Exelon Corp.,0.6666666666666666,EXC,24.29
Expedia,Expedia Group,0.7,EXPE,23.41
Extra Space Storage,Extra Space Storage,1.0,EXR,15.74
Exxon Mobil,Exxon Mobil Corp.,0.7857142857142857,XOM,32.23
"Facebook,","Facebook, Inc.",0.782608695652174,FB,31.37
Fastenal Co,Fastenal Co,1.0,FAST,22.53
Federal Realty Investment Trust,Federal Realty Investment Trust,1.0,FRT,16.1
FedEx,FedEx Corporation,0.45454545454545453,FDX,21.47
Fidelity National Information Services,Fidelity National Information Services,1.0,FIS,18.68
Fifth Third Bancorp,Fifth Third Bancorp,1.0,FITB,25.88
FirstEnergy,FirstEnergy Corp,0.8148148148148148,FE,37.93
First Republic Bank,First Republic Bank,1.0,FRC,24.54
Fiserv,Fiserv Inc,0.75,FISV,19.49
FleetCor Technologies,FleetCor Technologies Inc,0.9130434782608695,FLT,19.59
Flowserve,Flowserve Corporation,0.6,FLS,38.09
FMC,FMC Corporation,0.3333333333333333,FMC,38.89
Ford Motor,Ford Motor Company,0.7142857142857143,F,30.0
Fortinet,Fortinet,1.0,FTNT,21.39
Fortive,Fortive Corp,0.7368421052631579,FTV,30.94
Franklin Resources,Franklin Resources,1.0,BEN,20.0
Freeport-McMoRan,Freeport-McMoRan Inc.,0.8648648648648649,FCX,41.82
Gap,Gap Inc.,0.5454545454545454,GPS,13.35
Garmin,Garmin Ltd.,0.7058823529411765,GRMN,20.69
Gartner,Gartner Inc,0.7777777777777778,IT,28.86
General Dynamics,General Dynamics,1.0,GD,37.37
General Electric,General Electric,1.0,GE,45.84
General Mills,General Mills,1.0,GIS,24.84
General Motors,General Motors,1.0,GM,31.25
Genuine Parts,Genuine Parts,1.0,GPC,12.97
Gilead Sciences,Gilead Sciences,1.0,GILD,22.45
Globe Life,Globe Life Inc.,0.8,GL,26.51
Global Payments,Global Payments Inc.,0.8571428571428571,GPN,22.2
Goldman Sachs,Goldman Sachs Group,0.8125,GS,31.06
Grainger (W.W.),Grainger (W.W.) Inc.,0.8571428571428571,GWW,13.02
Halliburton,Halliburton Co.,0.8461538461538461,HAL,26.51
Hanesbrands,Hanesbrands Inc,0.8461538461538461,HBI,13.93
Hartford Financial Svc.Gp.,Hartford Financial Svc.Gp.,1.0,HIG,20.55
Hasbro,Hasbro Inc.,0.7058823529411765,HAS,12.56
HCA Healthcare,HCA Healthcare,1.0,HCA,26.58
Healthpeak Properties,Healthpeak Properties,1.0,PEAK,10.5
Henry Schein,Henry Schein,1.0,HSIC,14.88
The Hershey,The Hershey Company,0.7333333333333333,HSY,25.27
Hess,Hess Corporation,0.4,HES,29.38
Hewlett Packard,Hewlett Packard Enterprise,0.7317073170731707,HPE,17.35
Hilton,Hilton Worldwide Holdings Inc,0.34285714285714286,HLT,20.51
HollyFrontier,HollyFrontier Corp,0.8387096774193549,HFC,36.64
Hologic,Hologic,1.0,HOLX,30.58
Home Depot,Home Depot,1.0,HD,13.44
Honeywell,Honeywell Int'l Inc.,0.6206896551724138,HON,33.42
Hormel Foods,Hormel Foods Corp.,0.8,HRL,24.45
HP,HP Inc.,0.4444444444444444,HPQ,11.7
Humana,Humana Inc.,0.7058823529411765,HUM,22.89
Huntington Bancshares,Huntington Bancshares,1.0,HBAN,22.66
IDEX,IDEX Corporation,0.4,IEX,33.72
IHS Markit,IHS Markit Ltd.,0.8,INFO,24.1
Illinois Tool Works,Illinois Tool Works,1.0,ITW,20.65
Illumina,Illumina Inc,0.8,ILMN,11.16
Incyte,Incyte,1.0,INCY,27.73
Ingersoll Rand,Ingersoll Rand,1.0,IR,20.68
Intel,Intel Corp.,0.625,INTC,15.49
Intercontinental Exchange,Intercontinental Exchange,1.0,ICE,15.97
International Business Machines,International Business Machines,1.0,IBM,17.58
International Paper,International Paper,1.0,IP,25.68
Interpublic,Interpublic Group,0.7857142857142857,IPG,15.9
International Flavors & Fragrances,International Flavors & Fragrances,1.0,IFF,24.84
Intuit,Intuit Inc.,0.7058823529411765,INTU,18.05
Intuitive Surgical,Intuitive Surgical Inc.,0.8780487804878049,ISRG,30.13
Invesco,Invesco Ltd.,0.7368421052631579,IVZ,26.35
IQVIA,IQVIA Holdings Inc.,0.4166666666666667,IQV,24.28
Iron Mountainorporated,Iron Mountain Incorporated,0.9166666666666666,IRM,15.6
Jacobs Engineering,Jacobs Engineering Group,0.8571428571428571,J,34.15
J. B. Hunt Transport Services,J. B. Hunt Transport Services,1.0,JBHT,21.05
JM Smucker,JM Smucker,1.0,SJM,27.19
Johnson & Johnson,Johnson & Johnson,1.0,JNJ,32.78
Johnson Controls International,Johnson Controls International,1.0,JCI,17.58
JPMorgan Chase &,JPMorgan Chase & Co.,0.8888888888888888,JPM,22.12
Juniper Networks,Juniper Networks,1.0,JNPR,15.75
Kansas City Southern,Kansas City Southern,1.0,KSU,22.5
Kellogg,Kellogg Co.,0.7777777777777778,K,25.56
Key,KeyCorp,0.6,KEY,24.91
Keysight Technologies,Keysight Technologies,1.0,KEYS,9.75
Kimberly-Clark,Kimberly-Clark,1.0,KMB,22.21
Kinder Morgan,Kinder Morgan,1.0,KMI,23.8
Kohl's,Kohl's Corp.,0.6666666666666666,KSS,15.89
Kraft Heinz Co,Kraft Heinz Co,1.0,KHC,32.46
Kroger,Kroger Co.,0.75,KR,20.35
L Brands,L Brands Inc.,0.7619047619047619,LB,16.52
Laboratoryof America Holding,Laboratory Corp. of America Holding,0.8888888888888888,LH,19.11
Las Vegas Sands,Las Vegas Sands,1.0,LVS,18.73
Leggett & Platt,Leggett & Platt,1.0,LEG,36.06
Leidos,Leidos Holdings,0.5714285714285714,LDOS,20.4
Lennar,Lennar Corp.,0.6666666666666666,LEN,22.64
Lilly (Eli) &,Lilly (Eli) & Co.,0.8666666666666667,LLY,34.34
