0
scandal
greenwashing
corruption
fraud
bribe
tax
forced
harassment
violation
human rights
conflict
weapons
arms trade
pollution
CO2
emission
fossil fuel
gender inequality
discrimination
sexism
racist
intransparent
data privacy
lawsuit
unfair
bad
problem
hate
issues
controversial
